127.0.0.1, 2014-11-17 16:28:13, GET, /, HTTP/1.1, 303, 0.000658
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.163130
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000771
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000492
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000290
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000255
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-11-17 16:28:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000301
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/default/index, HTTP/1.1, 200, 0.095285
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.001481
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000492
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000429
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001322
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000835
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000316
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001223
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000909
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000920
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000780
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.001777
127.0.0.1, 2014-11-17 16:28:21, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000252
127.0.0.1, 2014-11-17 16:28:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2014-11-17 16:28:24, POST, /admin/default/index, HTTP/1.1, 303, 0.020414
127.0.0.1, 2014-11-17 16:28:24, GET, /admin/default/site, HTTP/1.1, 200, 0.125999
127.0.0.1, 2014-11-17 16:28:25, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.000592
127.0.0.1, 2014-11-17 16:28:25, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.000369
127.0.0.1, 2014-11-17 16:28:25, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000261
127.0.0.1, 2014-11-17 16:28:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.286443
127.0.0.1, 2014-11-17 16:28:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000155
127.0.0.1, 2014-11-17 16:28:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2014-11-17 16:28:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2014-11-17 16:29:09, POST, /admin/default/site, HTTP/1.1, 303, 0.042745
127.0.0.1, 2014-11-17 16:29:09, GET, /admin/default/design/sentinella, HTTP/1.1, 200, 0.189178
127.0.0.1, 2014-11-17 16:29:09, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-11-17 16:29:09, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000302
127.0.0.1, 2014-11-17 16:29:09, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000215
127.0.0.1, 2014-11-17 16:29:09, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000239
127.0.0.1, 2014-11-17 16:29:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/appadmin/index, HTTP/1.1, 200, 0.081403
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000919
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 200, 0.000557
127.0.0.1, 2014-11-17 16:29:31, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 200, 0.000655
